# # Once                                                         FEFF 10.0   
# # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.295 Rnm= 1.456 K  shell
# # Pot 1 Z=26 Rmt= 1.348 Rnm= 1.530
# # Pot 2 Z= 8 Rmt= 1.018 Rnm= 1.143
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.377E+00eV kf=1.951E+00 Vint=-1.589E+01eV Rs_int= 1.858
# # PATH  Rmax= 4.280,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.9457
#           2       0.00000     82.72      2.00     2   2.1162
#           3       0.00000     20.78      1.00     2   2.9004
#           4       0.00000     39.32      2.00     2   2.9710
#           5       0.00000     14.70      1.00     2   3.3642
#           6       0.00000     26.39      2.00     2   3.3985
#           7       0.00000      8.55      4.00     3   3.4184
#           8       0.00000      4.09      2.00     3   3.4634
#          10       0.00000      5.80      4.00     3   3.5164
#          11       0.00000      5.75      4.00     3   3.5164
#          12       0.00000      4.89      4.00     3   3.5663
#          13       0.00000     11.40      1.00     2   3.5964
#          14       0.00000      7.58      2.00     3   3.6277
#          15       0.00000     35.05      3.00     2   3.7053
#          16       0.00000     19.95      2.00     2   3.7857
#          17       0.00000     12.88      4.00     3   3.8835
#          18       0.00000      6.66      2.00     3   3.8835
#          19       0.00000      6.97      2.00     4   3.8913
#          21       0.00000      9.79      1.00     2   3.9856
#          22       0.00000      6.62      4.00     3   4.0067
#          23       0.00000     13.42      2.00     3   4.0374
#          24       0.00000      6.34      2.00     4   4.0618
#          27       0.00000      7.89      1.00     2   4.1353
#          28       0.00000      5.56      4.00     3   4.2150
#          29       0.00000      4.97      2.00     4   4.2323
#    25/  27 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -2.775108E-01  6.045008E-01 -4.769530E-01
     0.0500   -2.747677E-01  6.043900E-01 -4.719454E-01
     0.1000   -2.720168E-01  6.042769E-01 -4.669363E-01
     0.1500   -2.637494E-01  6.039310E-01 -4.519505E-01
     0.2000   -2.554164E-01  6.035647E-01 -4.369520E-01
     0.2500   -2.414522E-01  6.029241E-01 -4.120283E-01
     0.3000   -2.273273E-01  6.022275E-01 -3.870708E-01
     0.3500   -2.074385E-01  6.011908E-01 -3.522879E-01
     0.4000   -1.872978E-01  6.000468E-01 -3.174434E-01
     0.4500   -1.613249E-01  5.984843E-01 -2.729318E-01
     0.5000   -1.350729E-01  5.967499E-01 -2.283264E-01
     0.5500   -1.030486E-01  5.944717E-01 -1.742249E-01
     0.6000   -7.086247E-02  5.919454E-01 -1.199989E-01
     0.6500   -3.326879E-02  5.887701E-01 -5.653569E-02
     0.7000    4.143906E-03  5.852618E-01  7.080491E-03
     0.7500    4.621657E-02  5.809881E-01  7.963236E-02
     0.8000    8.746373E-02  5.762908E-01  1.523589E-01
     0.8500    1.321487E-01  5.707196E-01  2.336681E-01
     0.9000    1.750189E-01  5.646338E-01  3.151603E-01
     0.9500    2.196143E-01  5.575805E-01  4.048383E-01
     1.0000    2.610802E-01  5.499289E-01  4.946830E-01
     1.0500    3.021713E-01  5.412784E-01  5.922809E-01
     1.1000    3.386058E-01  5.319603E-01  6.899836E-01
     1.1500    3.722791E-01  5.215001E-01  7.949975E-01
     1.2000    3.997592E-01  5.103278E-01  9.000182E-01
     1.2500    4.222580E-01  4.980612E-01  1.011830E+00
     1.3000    4.373452E-01  4.850682E-01  1.123491E+00
     1.3500    4.456641E-01  4.709797E-01  1.241435E+00
     1.4000    4.459910E-01  4.561854E-01  1.358990E+00
     1.4500    4.386058E-01  4.403302E-01  1.482268E+00
     1.5000    4.235867E-01  4.238319E-01  1.604813E+00
     1.5500    4.010630E-01  4.063578E-01  1.732402E+00
     1.6000    3.723608E-01  3.883515E-01  1.858760E+00
     1.6500    3.375831E-01  3.694768E-01  1.989347E+00
     1.7000    2.991035E-01  3.502380E-01  2.117965E+00
     1.7500    2.570402E-01  3.302860E-01  2.249742E+00
     1.8000    2.144179E-01  3.102096E-01  2.378440E+00
     1.8500    1.712835E-01  2.895990E-01  2.508736E+00
     1.9000    1.307928E-01  2.692021E-01  2.634253E+00
     1.9500    9.277711E-02  2.485108E-01  2.758994E+00
     2.0000    5.989285E-02  2.285248E-01  2.876411E+00
     2.0500    3.129928E-02  2.076300E-01  2.990270E+00
     2.1000    9.282199E-03  1.881617E-01  3.092242E+00
     2.1500   -6.633253E-03  1.706868E-01  3.180465E+00
     2.2000   -1.740646E-02  1.557178E-01  3.253609E+00
     2.2500   -2.246420E-02  1.426061E-01  3.299778E+00
     2.3000   -2.485123E-02  1.334147E-01  3.328958E+00
     2.3500   -2.669512E-02  1.284147E-01  3.351002E+00
     2.4000   -2.991906E-02  1.272489E-01  3.378937E+00
     2.4500   -3.731169E-02  1.268308E-01  3.440195E+00
     2.5000   -4.596747E-02  1.279270E-01  3.509138E+00
     2.5500   -5.622645E-02  1.301812E-01  3.588201E+00
     2.6000   -6.814283E-02  1.332148E-01  3.678552E+00
     2.6500   -8.082724E-02  1.352950E-01  3.781866E+00
     2.7000   -9.400768E-02  1.377194E-01  3.892911E+00
     2.7500   -1.072044E-01  1.402836E-01  4.011390E+00
     2.8000   -1.197969E-01  1.428117E-01  4.136751E+00
     2.8500   -1.306098E-01  1.448477E-01  4.265288E+00
     2.9000   -1.395359E-01  1.466725E-01  4.399158E+00
     2.9500   -1.459412E-01  1.481947E-01  4.537774E+00
     3.0000   -1.492678E-01  1.493434E-01  4.680569E+00
     3.0500   -1.491046E-01  1.500937E-01  4.827257E+00
     3.1000   -1.451960E-01  1.504334E-01  4.977037E+00
     3.1500   -1.374500E-01  1.503395E-01  5.129499E+00
