PATH  Rmax= 8.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   1.000  index, nleg, degeneracy, r=  1.8589
      x           y           z     ipot  label      rleg      beta        eta
    1.177420   -0.284930    1.409970   2 'O     '     1.8589  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     1.8589  180.0000    0.0000
     2    2   1.000  index, nleg, degeneracy, r=  1.9335
      x           y           z     ipot  label      rleg      beta        eta
   -1.337300    1.368940    0.276040   2 'O     '     1.9335  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     1.9335  180.0000    0.0000
     3    2   1.000  index, nleg, degeneracy, r=  1.9612
      x           y           z     ipot  label      rleg      beta        eta
    1.193710    0.718840   -1.380130   2 'O     '     1.9612  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     1.9612  180.0000    0.0000
     4    2   1.000  index, nleg, degeneracy, r=  2.1817
      x           y           z     ipot  label      rleg      beta        eta
   -1.483190   -1.422310    0.732790   2 'O     '     2.1817  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     2.1817  180.0000    0.0000
     5    2   1.000  index, nleg, degeneracy, r=  2.2731
      x           y           z     ipot  label      rleg      beta        eta
   -1.270820   -0.643810   -1.771340   2 'O     '     2.2731  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     2.2731  180.0000    0.0000
     6    2   1.000  index, nleg, degeneracy, r=  2.2993
      x           y           z     ipot  label      rleg      beta        eta
    0.670570   -2.074870   -0.729490   2 'O     '     2.2993  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     2.2993  180.0000    0.0000
     7    2   1.000  index, nleg, degeneracy, r=  2.9107
      x           y           z     ipot  label      rleg      beta        eta
    1.577630   -2.229590    1.006150   1 'Fe    '     2.9107  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     2.9107  180.0000    0.0000
     8    2   1.000  index, nleg, degeneracy, r=  2.9148
      x           y           z     ipot  label      rleg      beta        eta
   -2.721320    0.058840    1.042710   1 'Fe    '     2.9148  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     2.9148  180.0000    0.0000
     9    2   1.000  index, nleg, degeneracy, r=  3.0072
      x           y           z     ipot  label      rleg      beta        eta
    0.063310    0.097470   -3.004910   1 'Fe    '     3.0072  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     3.0072  180.0000    0.0000
    10    2   1.000  index, nleg, degeneracy, r=  3.0441
      x           y           z     ipot  label      rleg      beta        eta
   -1.350020   -2.544870   -0.983820   1 'Fe    '     3.0441  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     3.0441  180.0000    0.0000
    11    2   1.000  index, nleg, degeneracy, r=  3.0813
      x           y           z     ipot  label      rleg      beta        eta
    0.376230    0.437310    3.026810   1 'Fe    '     3.0813  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     3.0813  180.0000    0.0000
    12    2   1.000  index, nleg, degeneracy, r=  3.2509
      x           y           z     ipot  label      rleg      beta        eta
    3.084290    0.612670   -0.824560   1 'Fe    '     3.2509  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Zn    '     3.2509  180.0000    0.0000
    13    2   1.000  index, nleg, degeneracy, r=  3.2786
      x           y           z     ipot  label      rleg      beta        eta
